timestamp,component,running,pids
2026-08-05T08:51:17Z,hesai_lidar,0,
2026-08-05T08:51:17Z,go2_imu_bridge,0,
2026-08-05T08:51:17Z,super_lio,0,
2026-08-05T08:51:17Z,body_odom_adapter,0,
2026-08-05T08:51:17Z,terrain_mapper,0,
2026-08-05T08:51:17Z,body_lattice_planner,0,
2026-08-05T08:51:17Z,go2_sdk2_bridge,0,
2026-08-05T08:51:17Z,go2_rl_controller,0,
2026-08-05T08:52:09Z,hesai_lidar,1,3527;3538
2026-08-05T08:52:09Z,go2_imu_bridge,1,3657;3665
2026-08-05T08:52:09Z,super_lio,1,3731
2026-08-05T08:52:09Z,body_odom_adapter,1,3884
2026-08-05T08:52:09Z,terrain_mapper,1,3890
2026-08-05T08:52:09Z,body_lattice_planner,1,3900
2026-08-05T08:52:09Z,go2_sdk2_bridge,0,
2026-08-05T08:52:09Z,go2_rl_controller,0,
2026-08-05T08:52:53Z,hesai_lidar,1,3527;3538
2026-08-05T08:52:53Z,go2_imu_bridge,1,3657;3665
2026-08-05T08:52:53Z,super_lio,1,3731
2026-08-05T08:52:53Z,body_odom_adapter,0,
2026-08-05T08:52:53Z,terrain_mapper,0,
2026-08-05T08:52:53Z,body_lattice_planner,0,
2026-08-05T08:52:53Z,go2_sdk2_bridge,0,
2026-08-05T08:52:53Z,go2_rl_controller,0,
2026-08-05T08:53:37Z,hesai_lidar,1,3527;3538
2026-08-05T08:53:37Z,go2_imu_bridge,1,3657;3665
2026-08-05T08:53:37Z,super_lio,1,3731
2026-08-05T08:53:37Z,body_odom_adapter,0,
2026-08-05T08:53:37Z,terrain_mapper,0,
2026-08-05T08:53:37Z,body_lattice_planner,0,
2026-08-05T08:53:37Z,go2_sdk2_bridge,0,
2026-08-05T08:53:37Z,go2_rl_controller,0,
2026-08-05T08:54:20Z,hesai_lidar,1,3527;3538
2026-08-05T08:54:20Z,go2_imu_bridge,1,3657;3665
2026-08-05T08:54:20Z,super_lio,1,3731
2026-08-05T08:54:20Z,body_odom_adapter,0,
2026-08-05T08:54:20Z,terrain_mapper,0,
2026-08-05T08:54:20Z,body_lattice_planner,0,
2026-08-05T08:54:20Z,go2_sdk2_bridge,0,
2026-08-05T08:54:20Z,go2_rl_controller,0,
2026-08-05T08:55:19Z,hesai_lidar,1,3527;3538
2026-08-05T08:55:19Z,go2_imu_bridge,1,3657;3665
2026-08-05T08:55:19Z,super_lio,1,3731
2026-08-05T08:55:19Z,body_odom_adapter,0,
2026-08-05T08:55:19Z,terrain_mapper,0,
2026-08-05T08:55:19Z,body_lattice_planner,0,
2026-08-05T08:55:19Z,go2_sdk2_bridge,0,
2026-08-05T08:55:19Z,go2_rl_controller,0,
2026-08-05T08:56:02Z,hesai_lidar,1,3527;3538
2026-08-05T08:56:02Z,go2_imu_bridge,1,3657;3665
2026-08-05T08:56:02Z,super_lio,1,3731
2026-08-05T08:56:02Z,body_odom_adapter,0,
2026-08-05T08:56:02Z,terrain_mapper,0,
2026-08-05T08:56:02Z,body_lattice_planner,0,
2026-08-05T08:56:02Z,go2_sdk2_bridge,0,
2026-08-05T08:56:02Z,go2_rl_controller,0,
2026-08-05T08:56:46Z,hesai_lidar,1,3527;3538
2026-08-05T08:56:46Z,go2_imu_bridge,1,3657;3665
2026-08-05T08:56:46Z,super_lio,1,3731
2026-08-05T08:56:46Z,body_odom_adapter,0,
2026-08-05T08:56:46Z,terrain_mapper,0,
2026-08-05T08:56:46Z,body_lattice_planner,0,
