timestamp,component,running,pids,states,cpu_percent_interval,rss_kib,threads,metrics_status
2026-08-07T07:24:57Z,hesai_lidar,0,,,,0,0,stopped
2026-08-07T07:24:57Z,go2_imu_bridge,0,,,,0,0,stopped
2026-08-07T07:24:57Z,super_lio,0,,,,0,0,stopped
2026-08-07T07:24:57Z,body_odom_adapter,0,,,,0,0,stopped
2026-08-07T07:24:57Z,terrain_mapper,0,,,,0,0,stopped
2026-08-07T07:24:57Z,body_lattice_planner,0,,,,0,0,stopped
2026-08-07T07:24:57Z,go2_sdk2_bridge,0,,,,0,0,stopped
2026-08-07T07:24:57Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-07T07:25:58Z,hesai_lidar,1,12582;12600,12582:S;12600:S,,157312,16,baseline
2026-08-07T07:25:58Z,go2_imu_bridge,1,12638;12641,12638:S;12641:S,,58680,19,baseline
2026-08-07T07:25:58Z,super_lio,1,12672,12672:R,,77752,13,baseline
2026-08-07T07:25:58Z,body_odom_adapter,1,12855,12855:S,,20636,10,baseline
2026-08-07T07:25:58Z,terrain_mapper,1,12869,12869:S,,56420,10,baseline
2026-08-07T07:25:58Z,body_lattice_planner,1,12873,12873:S,,23656,10,baseline
2026-08-07T07:25:58Z,go2_sdk2_bridge,0,,,,0,0,stopped
2026-08-07T07:25:58Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-07T07:26:44Z,hesai_lidar,1,12582;12600,12582:S;12600:S,26.566,157312,16,ok
2026-08-07T07:26:44Z,go2_imu_bridge,1,12638;12641,12638:S;12641:S,10.863,58940,19,ok
2026-08-07T07:26:44Z,super_lio,1,12672,12672:S,44.831,77752,13,ok
2026-08-07T07:26:44Z,body_odom_adapter,1,12855,12855:S,0.854,20636,10,ok
2026-08-07T07:26:44Z,terrain_mapper,1,12869,12869:S,14.674,53520,10,ok
2026-08-07T07:26:44Z,body_lattice_planner,1,12873,12873:S,1.424,23656,10,ok
2026-08-07T07:26:44Z,go2_sdk2_bridge,0,,,,0,0,stopped
2026-08-07T07:26:44Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-07T07:27:31Z,hesai_lidar,1,12582;12600,12582:S;12600:S,27.133,157312,16,ok
2026-08-07T07:27:31Z,go2_imu_bridge,1,12638;12641,12638:S;12641:S,11.007,59204,19,ok
2026-08-07T07:27:31Z,super_lio,1,12672,12672:S,46.758,77752,13,ok
2026-08-07T07:27:31Z,body_odom_adapter,1,12855,12855:S,0.875,20636,10,ok
2026-08-07T07:27:31Z,terrain_mapper,1,12869,12869:S,15.764,53520,10,ok
2026-08-07T07:27:31Z,body_lattice_planner,1,12873,12873:S,1.451,23656,10,ok
2026-08-07T07:27:31Z,go2_sdk2_bridge,0,,,,0,0,stopped
2026-08-07T07:27:31Z,go2_rl_controller,0,,,,0,0,stopped
2026-08-07T07:28:18Z,hesai_lidar,1,12582;12600,12582:S;12600:S,25.872,157312,16,ok
2026-08-07T07:28:18Z,go2_imu_bridge,1,12638;12641,12638:S;12641:S,10.693,59204,19,ok
2026-08-07T07:28:18Z,super_lio,1,12672,12672:S,42.623,77752,13,ok
2026-08-07T07:28:18Z,body_odom_adapter,1,12855,12855:S,0.914,20636,10,ok
2026-08-07T07:28:18Z,terrain_mapper,1,12869,12869:S,13.605,53520,10,ok
2026-08-07T07:28:18Z,body_lattice_planner,1,12873,12873:S,1.446,23656,10,ok
