timestamp,monotonic_ns,load1,load5,load15,mem_available_kib,swap_free_kib,thermal_max_millic,thermal_zone,status
2026-08-10T08:29:59Z,297800000000,0.70,1.19,0.60,14022380,8015680,53812,tj-thermal,ok
2026-08-10T08:31:28Z,386590000000,1.65,1.45,0.75,13746928,8015680,53812,soc1-thermal,ok
2026-08-10T08:32:18Z,436390000000,1.95,1.56,0.83,13747708,8015680,53937,tj-thermal,ok
2026-08-10T08:33:08Z,486430000000,2.09,1.65,0.89,13745920,8015680,53875,soc1-thermal,ok
2026-08-10T08:33:58Z,536400000000,1.43,1.53,0.89,13753528,8015680,53750,soc1-thermal,ok
2026-08-10T08:35:11Z,609910000000,2.46,1.79,1.03,13747668,8015680,53687,soc1-thermal,ok
2026-08-10T08:36:01Z,659720000000,1.76,1.71,1.04,13750212,8015680,53593,soc1-thermal,ok
2026-08-10T08:36:51Z,709590000000,2.14,1.82,1.12,13773328,8015680,53562,tj-thermal,ok
2026-08-10T08:37:41Z,759290000000,2.94,2.13,1.26,13773860,8015680,53687,tj-thermal,ok
2026-08-10T08:38:39Z,817390000000,1.82,1.96,1.26,13768484,8015680,53437,soc1-thermal,ok
2026-08-10T08:39:29Z,867290000000,1.77,1.93,1.28,13769448,8015680,53406,soc1-thermal,ok
2026-08-10T08:40:19Z,917160000000,1.59,1.87,1.30,13766488,8015680,53562,tj-thermal,ok
2026-08-10T08:41:08Z,967080000000,1.77,1.84,1.31,13762404,8015680,53343,soc1-thermal,ok
